epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,17941.9,1.18282,0.92539,1.29366,0.63947,0.71074,0.70372,0.45314,1.23947,0.8328,1.36967,0.00308412,0.00308412,0.00308412
65,18235.9,1.17796,0.92375,1.28957,0.63972,0.7101,0.70401,0.45347,1.23902,0.83164,1.36923,0.00294239,0.00294239,0.00294239
66,18526.3,1.17806,0.91648,1.28546,0.63856,0.71429,0.70456,0.4541,1.23848,0.83047,1.36853,0.00280275,0.00280275,0.00280275
67,18810,1.17216,0.91045,1.28585,0.64016,0.71473,0.70464,0.45426,1.2377,0.82907,1.36777,0.00266532,0.00266532,0.00266532
68,19092.8,1.17407,0.90816,1.2889,0.64184,0.71509,0.70449,0.45446,1.23696,0.82779,1.36688,0.00253024,0.00253024,0.00253024
69,19377.6,1.16629,0.89521,1.27735,0.6417,0.71513,0.70441,0.45504,1.23619,0.82619,1.36608,0.00239766,0.00239766,0.00239766
70,19663.9,1.15809,0.89396,1.27678,0.64016,0.71847,0.70465,0.45552,1.23543,0.82476,1.36538,0.00226769,0.00226769,0.00226769
71,19946.6,1.15723,0.88663,1.27399,0.641,0.71985,0.70448,0.45575,1.23481,0.82344,1.36459,0.00214046,0.00214046,0.00214046
72,20232.6,1.1534,0.88041,1.27448,0.64185,0.72084,0.70455,0.4559,1.23381,0.82222,1.36369,0.00201611,0.00201611,0.00201611
73,20520,1.15546,0.87922,1.27462,0.63999,0.72141,0.70486,0.45621,1.23322,0.82101,1.36304,0.00189475,0.00189475,0.00189475
74,20810.8,1.1466,0.87361,1.26694,0.64372,0.72206,0.7054,0.45653,1.2324,0.81952,1.36227,0.00177651,0.00177651,0.00177651
75,21100.2,1.13949,0.86493,1.26156,0.64317,0.72279,0.70607,0.45686,1.23172,0.8183,1.36155,0.00166149,0.00166149,0.00166149
76,21384.5,1.13727,0.85781,1.25986,0.64474,0.72231,0.70592,0.45722,1.2309,0.81681,1.36065,0.00154982,0.00154982,0.00154982
